index,movieId,title,genres,year
18955,94070,"best exotic marigold hotel, the",comedy drama,2011
18960,94101,crime after crime,documentary,2011
18961,94103,black pond,comedy drama,2011
18965,94114,sharpay's fabulous adventure,children comedy,2011
18967,94122,comic-con episode iv: a fan's hope,documentary,2011
18968,94126,bullhead (rundskop),crime drama,2011
18970,94130,bully,documentary,2011
18976,94150,hysteria,comedy romance,2011
18981,94184,"bleeding house, the",drama horror mystery thriller,2011
18988,94218,super demetrios,adventure comedy sci-fi,2012
18993,94266,"five-year engagement, the",comedy romance,2012
18996,94278,muzi v nadeji,comedy drama romance,2011
19007,94312,"catechism cataclysm, the",comedy,2011
19008,94314,"devil's rock, the",horror thriller war,2011
19009,94323,think like a man,comedy,2012
19010,94325,"lucky one, the",drama,2012
19019,94401,if a tree falls: a story of the earth liberation front,documentary,2011
19020,94403,"greening of whitney brown, the",adventure,2011
19021,94405,safe,action crime thriller,2012
19024,94412,"fairy, the (la fée) ",comedy drama,2011
19031,94429,"swell season, the",documentary romance,2011
19035,94439,jumping the broom,comedy,2011
19038,94466,black mirror,drama sci-fi,2011
19039,94469,red dog,comedy drama romance,2011
19040,94471,any questions for ben?,comedy drama,2012
19043,94478,dark shadows,comedy horror imax,2012
19045,94482,big boys gone bananas!*,documentary,2011
19048,94494,96 minutes ,drama thriller,2011
19049,94496,columbus circle,crime mystery thriller,2012
19050,94503,"decoy bride, the",comedy romance,2011
19052,94537,angels crest,drama,2011
19054,94542,"forgiveness of blood, the (falja e gjakut)",drama,2011
19056,94556,citizen gangster ,crime drama,2011
19060,94649,"clown, the",comedy drama,2011
19061,94653,creature,horror,2011
19066,94663,vicky donor,comedy romance,2012
19072,94677,"dictator, the",comedy,2012
19073,94679,thrive,documentary,2011
19078,94733,keyhole,drama mystery,2011
19081,94739,"island president, the",documentary,2011
19092,94777,men in black iii (m.iii.b.) (m.i.b.³),action comedy sci-fi imax,2012
19093,94780,snow white and the huntsman,action adventure drama,2012
19099,94799,sound of my voice,drama mystery sci-fi,2011
19104,94810,eva,drama fantasy sci-fi,2011
19105,94813,chernobyl diaries,horror,2012
19106,94815,chicken with plums (poulet aux prunes),drama,2011
19110,94833,"pirates! band of misfits, the",adventure animation children comedy,2012
19111,94835,"vie meilleure, une (better life, a)",drama,2011
19112,94837,hemingway & gellhorn,drama romance war,2012
19114,94841,hick,drama romance,2011
19115,94864,prometheus,action horror sci-fi imax,2012
19116,94867,"pact, the",horror mystery thriller,2012
19119,94896,bernie,comedy crime drama,2011
19120,94900,desi boyz,comedy drama,2011
19127,94931,take this waltz,drama romance,2011
19128,94933,berlin 36,drama,2011
19134,94953,wanderlust,comedy,2012
19137,94959,moonrise kingdom,comedy drama romance,2012
19138,94965,there be dragons,drama war,2011
19139,94967,texas killing fields,crime drama thriller,2011
19140,94969,kahaani,crime drama thriller,2012
19142,94974,superman vs. the elite,action animation,2012
19143,94978,i wish (kiseki),children drama,2011
19146,94985,get the gringo,action crime drama thriller,2012
19149,94998,5 days of war,action drama war,2011
19156,95014,"importance of tying your own shoes, the (hur många lingon finns det i världen?)",drama,2011
19163,95032,vares: the kiss of evil (vares - pahan suudelma),action crime film-noir,2011
19164,95034,"few best men, a",comedy,2011
19165,95036,late bloomers,drama,2011
19168,95058,cosmopolis ,drama,2012
19169,95064,house of the rising sun,action crime drama thriller,2011
19170,95067,"thousand words, a",comedy drama,2012
19171,95069,chimpanzee,documentary,2012
19173,95088,safety not guaranteed,comedy drama,2012
19174,95105,madagascar 3: europe's most wanted,adventure animation children comedy imax,2012
19175,95107,bunnyman,horror,2011
19180,95133,blackthorn,western,2011
19181,95135,your sister's sister,comedy drama,2011
19187,95151,dead space: aftermath,animation horror sci-fi,2011
19193,95167,brave,action adventure animation children,2012
19201,95197,bel ami,drama romance,2012
19202,95199,what to expect when you're expecting,comedy drama romance,2012
19203,95201,to rome with love,comedy,2012
19205,95207,abraham lincoln: vampire hunter,action fantasy horror thriller,2012
19208,95218,first position,documentary,2011
19213,95237,detention,comedy horror,2012
19218,95296,for greater glory: the true story of cristiada,drama war,2012
19223,95307,rock of ages,comedy drama musical imax,2012
19224,95309,seeking a friend for the end of the world,comedy drama romance,2012
19232,95441,ted,comedy fantasy,2012
19233,95443,"giant mechanical man, the",comedy drama romance,2012
19235,95449,magic mike,drama romance,2012
19236,95461,revenge of the electric car,documentary,2011
19244,95488,on the road,adventure drama,2012
19246,95494,joffrey: mavericks of american dance,documentary,2012
19250,95506,extraterrestrial (extraterrestre),comedy drama sci-fi,2011
19251,95508,cleanskin,crime drama thriller,2012
19252,95510,"amazing spider-man, the",action adventure sci-fi imax,2012
19257,95529,id:a,crime thriller,2011
19262,95543,ice age 4: continental drift,adventure animation comedy,2012
19263,95558,beasts of the southern wild,drama fantasy,2012
19267,95567,people like us,drama,2012
19274,95583,savages,crime drama thriller,2012
19276,95591,rat king,mystery thriller,2012
19277,95595,bela kiss: prologue,horror mystery thriller,2013
19280,95602,once upon a time in phuket (en gång i phuket),comedy,2011
